suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-graz;4;1;0.00;0;0;1;0.00;0.00;100.00;zarg-
-esarg;5;2;0.00;2;0;0;100.00;0.00;0.00;grase-
-äuel;4;14;0.00;10;0;4;71.43;0.00;28.57;leuä-
-torin;5;131;0.01;0;126;5;0.00;96.18;3.82;nirot-
-ogrel;5;1;0.00;0;0;1;0.00;0.00;100.00;lergo-
-okost;5;1;0.00;0;1;0;0.00;100.00;0.00;tsoko-
-cheft;5;1;0.00;0;0;1;0.00;0.00;100.00;tfehc-
-afott;5;1;0.00;0;0;1;0.00;0.00;100.00;ttofa-
-selyt;5;1;0.00;1;0;0;100.00;0.00;0.00;tyles-
-ähern;5;1;0.00;0;0;1;0.00;0.00;100.00;nrehä-
-äuen;4;2;0.00;0;0;2;0.00;0.00;100.00;neuä-
-äfix;4;7;0.00;0;0;7;0.00;0.00;100.00;xifä-
-lita;4;1;0.00;0;1;0;0.00;100.00;0.00;atil-
-burst;5;4;0.00;4;0;0;100.00;0.00;0.00;tsrub-
-jacka;5;1;0.00;0;1;0;0.00;100.00;0.00;akcaj-
-esarm;5;1;0.00;1;0;0;100.00;0.00;0.00;mrase-
-pylon;5;5;0.00;4;0;1;80.00;0.00;20.00;nolyp-
-toris;5;2;0.00;0;2;0;0.00;100.00;0.00;sirot-
-oixit;5;1;0.00;1;0;0;100.00;0.00;0.00;tixio-
-endar;5;7;0.00;6;0;1;85.71;0.00;14.29;radne-
-äuer;4;5;0.00;4;0;1;80.00;0.00;20.00;reuä-
-tritt;5;138;0.01;138;0;0;100.00;0.00;0.00;ttirt-
-torit;5;4;0.00;4;0;0;100.00;0.00;0.00;tirot-
-ärfe;4;36;0.00;0;36;0;0.00;100.00;0.00;efrä-
-eogen;5;2;0.00;0;0;2;0.00;0.00;100.00;negoe-
-mour;4;4;0.00;3;1;0;75.00;25.00;0.00;ruom-
-lite;4;15;0.00;0;15;0;0.00;100.00;0.00;etil-
-irie;4;3;0.00;0;3;0;0.00;100.00;0.00;eiri-
-lps;3;1;0.00;1;0;0;100.00;0.00;0.00;spl-
-ufner;5;1;0.00;1;0;0;100.00;0.00;0.00;renfu-
-bruhe;5;1;0.00;0;1;0;0.00;100.00;0.00;ehurb-
-jacke;5;87;0.00;0;87;0;0.00;100.00;0.00;ekcaj-
-mteam;5;5;0.00;0;0;5;0.00;0.00;100.00;maetm-
-goby;4;1;0.00;1;0;0;100.00;0.00;0.00;ybog-
-kroom;5;1;0.00;1;0;0;100.00;0.00;0.00;moork-
-lith;4;197;0.01;196;0;1;99.49;0.00;0.51;htil-
-esart;5;4;0.00;0;4;0;0.00;100.00;0.00;trase-
-tritz;5;1;0.00;0;0;1;0.00;0.00;100.00;ztirt-
-deaux;5;2;0.00;1;0;1;50.00;0.00;50.00;xuaed-
-ssaal;5;24;0.00;24;0;0;100.00;0.00;0.00;laass-
-stada;5;1;0.00;0;1;0;0.00;100.00;0.00;adats-
