suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-lge;3;1;0.01;0;1;0;0.00;100.00;0.00;egl-
-rhahn;5;1;0.01;1;0;0;100.00;0.00;0.00;nhahr-
-ga;2;1;0.01;0;1;0;0.00;100.00;0.00;ag-
-we;2;2;0.02;1;1;0;50.00;50.00;0.00;ew-
-sehen;5;2;0.02;0;0;2;0.00;0.00;100.00;nehes-
-olk;3;1;0.01;0;0;1;0.00;0.00;100.00;klo-
-remde;5;1;0.01;1;0;0;100.00;0.00;0.00;edmer-
-ren;3;3;0.03;1;1;1;33.33;33.33;33.33;ner-
-ran;3;1;0.01;1;0;0;100.00;0.00;0.00;nar-
-oll;3;1;0.01;0;1;0;0.00;100.00;0.00;llo-
-ührer;5;3;0.03;3;0;0;100.00;0.00;0.00;rerhü-
-asen;4;1;0.01;1;0;0;100.00;0.00;0.00;nesa-
-isen;4;2;0.02;0;0;2;0.00;0.00;100.00;nesi-
-esen;4;4;0.05;0;0;4;0.00;0.00;100.00;nese-
-uft;3;2;0.02;1;1;0;50.00;50.00;0.00;tfu-
-se;2;37;0.42;4;29;4;10.81;78.38;10.81;es-
-od;2;1;0.01;1;0;0;100.00;0.00;0.00;do-
-oto;3;2;0.02;0;0;2;0.00;0.00;100.00;oto-
-ind;3;6;0.07;2;0;4;33.33;0.00;66.67;dni-
-ury;3;1;0.01;0;1;0;0.00;100.00;0.00;yru-
-gd;2;3;0.03;0;3;0;0.00;100.00;0.00;dg-
-ine;3;5;0.06;0;5;0;0.00;100.00;0.00;eni-
-of;2;5;0.06;5;0;0;100.00;0.00;0.00;fo-
-ke;2;19;0.22;2;17;0;10.53;89.47;0.00;ek-
-ris;3;1;0.01;0;1;0;0.00;100.00;0.00;sir-
-og;2;1;0.01;1;0;0;100.00;0.00;0.00;go-
-stamm;5;1;0.01;1;0;0;100.00;0.00;0.00;mmats-
-amant;5;1;0.01;1;0;0;100.00;0.00;0.00;tnama-
-lch;3;1;0.01;0;1;0;0.00;100.00;0.00;hcl-
-rer;3;9;0.10;9;0;0;100.00;0.00;0.00;rer-
-ohn;3;2;0.02;2;0;0;100.00;0.00;0.00;nho-
-ge;2;34;0.39;5;27;2;14.71;79.41;5.88;eg-
-iser;4;1;0.01;1;0;0;100.00;0.00;0.00;resi-
-rit;3;1;0.01;1;0;0;100.00;0.00;0.00;tir-
-haos;4;1;0.01;0;0;1;0.00;0.00;100.00;soah-
-eser;4;1;0.01;1;0;0;100.00;0.00;0.00;rese-
-ife;3;4;0.05;0;4;0;0.00;100.00;0.00;efi-
-asis;4;1;0.01;0;1;0;0.00;100.00;0.00;sisa-
-ing;3;9;0.10;6;0;3;66.67;0.00;33.33;gni-
-ce;2;4;0.05;1;3;0;25.00;75.00;0.00;ec-
-ibe;3;2;0.02;0;2;0;0.00;100.00;0.00;ebi-
-port;4;1;0.01;1;0;0;100.00;0.00;0.00;trop-
-ras;3;1;0.01;0;0;1;0.00;0.00;100.00;sar-
-iff;3;7;0.08;6;0;1;85.71;0.00;14.29;ffi-
-lon;3;2;0.02;2;0;0;100.00;0.00;0.00;nol-
-rat;3;2;0.02;1;0;1;50.00;0.00;50.00;tar-
-ott;3;2;0.02;2;0;0;100.00;0.00;0.00;tto-
-llen;4;1;0.01;1;0;0;100.00;0.00;0.00;nell-
-irk;3;2;0.02;2;0;0;100.00;0.00;0.00;kri-
-ch;2;48;0.55;26;3;19;54.17;6.25;39.58;hc-
-rau;3;5;0.06;0;4;1;0.00;80.00;20.00;uar-
-ink;3;1;0.01;1;0;0;100.00;0.00;0.00;kni-
-plan;4;1;0.01;1;0;0;100.00;0.00;0.00;nalp-
-llan;4;1;0.01;0;0;1;0.00;0.00;100.00;nall-
-eckel;5;1;0.01;1;0;0;100.00;0.00;0.00;lekce-
-ndant;5;1;0.01;1;0;0;100.00;0.00;0.00;tnadn-
-ousin;5;1;0.01;1;0;0;100.00;0.00;0.00;nisuo-
-ol;2;3;0.03;2;0;1;66.67;0.00;33.33;lo-
-nstoß;5;1;0.01;1;0;0;100.00;0.00;0.00;ßotsn-
-hicht;5;2;0.02;0;2;0;0.00;100.00;0.00;thcih-
-agie;4;1;0.01;0;1;0;0.00;100.00;0.00;eiga-
-om;2;2;0.02;2;0;0;100.00;0.00;0.00;mo-
-fad;3;1;0.01;1;0;0;100.00;0.00;0.00;daf-
-irm;3;3;0.03;3;0;0;100.00;0.00;0.00;mri-
-fee;3;1;0.01;1;0;0;100.00;0.00;0.00;eef-
-fig;3;1;0.01;1;0;0;100.00;0.00;0.00;gif-
-ecken;5;1;0.01;0;0;1;0.00;0.00;100.00;nekce-
-irn;3;2;0.02;0;1;1;0.00;50.00;50.00;nri-
-ck;2;40;0.46;28;0;12;70.00;0.00;30.00;kc-
-on;2;48;0.55;7;39;2;14.58;81.25;4.17;no-
-oo;2;1;0.01;0;0;1;0.00;0.00;100.00;oo-
-ray;3;1;0.01;0;0;1;0.00;0.00;100.00;yar-
-ehweg;5;1;0.01;1;0;0;100.00;0.00;0.00;gewhe-
-tler;4;2;0.02;2;0;0;100.00;0.00;0.00;relt-
-ller;4;4;0.05;4;0;0;100.00;0.00;0.00;rell-
-inn;3;4;0.05;3;0;1;75.00;0.00;25.00;nni-
-llit;4;1;0.01;1;0;0;100.00;0.00;0.00;till-
-merad;5;1;0.01;1;0;0;100.00;0.00;0.00;darem-
-ko;2;1;0.01;0;0;1;0.00;0.00;100.00;ok-
-gn;2;1;0.01;0;0;1;0.00;0.00;100.00;ng-
-lot;3;1;0.01;1;0;0;100.00;0.00;0.00;tol-
-llar;4;1;0.01;1;0;0;100.00;0.00;0.00;rall-
-plar;4;1;0.01;0;0;1;0.00;0.00;100.00;ralp-
-oment;5;1;0.01;1;0;0;100.00;0.00;0.00;tnemo-
-wein;4;1;0.01;0;0;1;0.00;0.00;100.00;niew-
-che;3;25;0.28;2;23;0;8.00;92.00;0.00;ehc-
-ecker;5;1;0.01;0;1;0;0.00;100.00;0.00;rekce-
-hrott;5;1;0.01;1;0;0;100.00;0.00;0.00;ttorh-
-or;2;18;0.21;15;0;3;83.33;0.00;16.67;ro-
-olz;3;2;0.02;1;0;1;50.00;0.00;50.00;zlo-
-ss;2;18;0.21;13;1;4;72.22;5.56;22.22;ss-
-fil;3;1;0.01;0;0;1;0.00;0.00;100.00;lif-
